brand;model;year_from;year_to;engine_volume;fuel_type;oil_ngn_5w30_product;oil_ngn_5w30_article;oil_ngn_5w40_product;oil_ngn_5w40_article;oil_specs;oil_fill_liters;filter_oil_mann;filter_oil_lynx;filter_oil_sufix;filter_air_mann;filter_air_lynx;filter_air_sufix;filter_cabin_mann;filter_cabin_lynx;filter_cabin_sufix;notes;at_type;at_oil_specs;at_oil_fill_liters;at_ngn_product;at_ngn_article;filter_oil_oe;filter_air_oe;filter_cabin_oe;oil_ngn_aline_5w30_product;oil_ngn_aline_5w30_article;oil_ngn_aline_5w40_product;oil_ngn_aline_5w40_article
Volkswagen;Polo Sedan;2015;2020;1.6 (CWVA);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 502 00 / 505 00;4.0;W 712/95;нет данных;нет данных;C 21 011 (OEM 04E129620A);нет данных;нет данных;CU 26 010 (как пример);нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Volkswagen;Polo Sedan;2010;2015;1.6 (CFNA);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 502 00 / 505 00;3.6;W 712/94;нет данных;нет данных;C 3880;нет данных;нет данных;CU 26 010 (как пример);нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;03C115561H;036129620J;6R0819653;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Ford;Focus III;2011;2019;1.6;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;Ford WSS-M2C913-C/D;4.1;W 7008 / W 7015;нет данных;нет данных;C 16 134/2;нет данных;нет данных;CU 25 007 (пример);нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Qashqai (J10);2006;2013;2.0 (MR20DE);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL/SM/SN, ACEA A3/B4;4.4;W 67/1;LC-1237;нет данных;C 2433/2;LA-246;нет данных;CU 1936;LAC-201;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;X-Trail (T31);2007;2014;2.0 (MR20DE);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL/SM/SN, ACEA A3/B4;4.4;W 67/1;LC-1237;нет данных;C 2433/2;LA-246;нет данных;CU 1936;LAC-201;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Lacetti/Clan;2007;2012;1.4 16V (94 л.с.) / 1.6 16V (109 л.с.);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2 / ACEA A3/B4;3.75;W 712/75;нет данных;нет данных;C 3090;нет данных;нет данных;CU 1719;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Lacetti/Clan;2007;2012;1.8 16V (121 л.с.);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2 / ACEA A3/B4;3.8;W 712/75;нет данных;нет данных;C 3090;нет данных;нет данных;CU 1719;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mercedes-Benz;S-Class W221;2006;2013;S350 3.5 (M272);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;MB 229.5;8.0;HU 718/5 x;нет данных;нет данных;C 3698/3-2;нет данных;нет данных;CUK 2722-2;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mercedes-Benz;S-Class W221;2006;2013;S500 5.5 (M273);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;MB 229.5;8.5;HU 718/5 x;нет данных;нет данных;C 3698/3-2;нет данных;нет данных;CUK 2722-2;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mercedes-Benz;S-Class W221;2006;2013;S350 CDI 3.0 (OM642);Дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;MB 229.51;8.5;HU 821 x;нет данных;нет данных;C 31 004;нет данных;нет данных;CUK 2722-2;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;ASX;2013;2016;1.6 (4A92);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B4;4.2;W 610/3;нет данных;нет данных;C 27 003/1;нет данных;нет данных;CU 2141;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;ASX;2013;2016;1.8 (4B10) / 2.0 (4B11);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B4;4.3;W 610/3;нет данных;нет данных;C 27 003/1;нет данных;нет данных;CU 2141;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;Pajero;2007;2014;3.0 (6G72);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B4;4.5;W 610/3;нет данных;нет данных;C 24 137/1;нет данных;нет данных;CU 22 004;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;Pajero;2007;2014;3.8 (6G75);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B3;4.9;W 610/3;нет данных;нет данных;C 24 137/1;нет данных;нет данных;CU 22 004;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;Pajero;2007;2014;3.2 DI-D;Дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA C3 (DPF) / B4 (no DPF);9.8;W 712/52;нет данных;нет данных;C 24 137/1;нет данных;нет данных;CU 22 004;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;Outlander;2006;2012;2.0 (4B11) / 3.0 (6B31);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B4;4.3;W 610/3;нет данных;нет данных;C 27 003/1;нет данных;нет данных;CU 2141;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Mitsubishi;Outlander;2006;2012;2.4 (4B12);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B4;4.4;W 610/3;нет данных;нет данных;C 27 003/1;нет данных;нет данных;CU 2141;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Pathfinder;2011;2014;2.5 dCi;Дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA C3 / API SN;7.6;W 920/48;нет данных;нет данных;C 28 145;нет данных;нет данных;CU 2626;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Pathfinder;2011;2014;3.0 dCi (V9X);Дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA C4 / RN0720;7.1;W 8013;нет данных;нет данных;C 28 145;нет данных;нет данных;CU 2626;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Teana;2014;2016;2.5 (QR25DE);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN / ACEA A3/B4;4.6;W 67/1;нет данных;нет данных;C 29 038;нет данных;нет данных;CUK 29 001;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Teana;2014;2016;3.5 (VQ35DE);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN / ACEA A3/B4;4.8;W 67/1;нет данных;нет данных;C 29 038;нет данных;нет данных;CUK 29 001;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Almera;2006;2012;1.6 Classic (QG16DE);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL/SM;2.7;W 67/1;нет данных;нет данных;C 2964;нет данных;нет данных;CU 2252;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Terrano;2017;2022;1.6 (H4M);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700 / ACEA A3/B4;4.3;W 75/3;нет данных;нет данных;C 27 030;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Nissan;Terrano;2017;2022;2.0 (F4R);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700 / ACEA A3/B4;5.4;W 75/3;нет данных;нет данных;C 27 030;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Opel;Astra;2006;2010;1.4 (Z14XEP);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2;3.5;HU 712/8 x;нет данных;нет данных;C 30 130;нет данных;нет данных;CU 3054;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Opel;Astra;2006;2010;1.6 (Z16XER) / 1.8 (Z18XER);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2;4.5;HU 612/2 x;нет данных;нет данных;C 30 130;нет данных;нет данных;CU 3054;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Opel;Mokka;2013;2015;1.4 Turbo (A14NET);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2;4.0;HU 612/2 x;нет данных;нет данных;C 24 012;нет данных;нет данных;CUK 2442;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Opel;Mokka;2013;2015;1.8 (A18XER);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2;4.5;HU 612/2 x;нет данных;нет данных;C 24 012;нет данных;нет данных;CUK 2442;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Opel;Astra H;2007;2011;1.6 (Z16XER) / 1.8 (Z18XER);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2;4.5;HU 612/2 x;нет данных;нет данных;C 30 130;нет данных;нет данных;CU 3054;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Opel;Zafira;2009;2011;1.8 (Z18XER);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2;4.5;HU 612/2 x;нет данных;нет данных;C 30 130;нет данных;нет данных;CU 3054;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Omoda;C5;2022;2024;1.5 Turbo;Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SP / SN Plus;4.2;W 711/80;нет данных;нет данных;C 27089;нет данных;нет данных;CUK 25040;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Peugeot;4008;2012;2017;2.0 (4B11);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN / ACEA A3/B4;4.3;W 610/3;нет данных;нет данных;C 27 003/1;нет данных;нет данных;CU 2141;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Peugeot;408;2013;2017;1.6 VTi (EP6);Бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;PSA B71 2290;4.25;HU 711/51 x;нет данных;нет данных;C 36 002;нет данных;нет данных;CU 29 003-2;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Peugeot;408;2013;2017;1.6 HDi (DV6);Дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;PSA B71 2290;3.75;HU 716/2 x;нет данных;нет данных;C 36 002;нет данных;нет данных;CU 29 003-2;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Land Rover;Range Rover;1997;2002;2.5D (BMW M51);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4 / 10W-40;9.5;W 940/25;нет данных;нет данных;C 26 126;нет данных;нет данных;CU 2137;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Land Rover;Range Rover;1997;2002;4.0 V8 / 4.6 V8;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL / 10W-40;5.8;W 930/20;нет данных;нет данных;C 26 126;нет данных;нет данных;CU 2137;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Sandero;2013;2020;1.2 16V (D4F);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;4.0;W 75/3;нет данных;нет данных;C 27 008;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Sandero;2013;2020;1.6 8V (K7M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;3.3;W 75/3;нет данных;нет данных;C 27 008;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Sandero;2013;2020;1.6 16V (K4M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;4.8;W 75/3;нет данных;нет данных;C 27 008;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Arkana;2018;2024;1.6 (H4M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700;4.3;W 67/1;нет данных;нет данных;C 27 031;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Arkana;2018;2024;1.3 TCe;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 17 / 5W-30;5.4;HU 10 002 z;нет данных;нет данных;C 27 031;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Logan;2010;2020;1.6 8V (K7M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;3.3;W 75/3;нет данных;нет данных;C 27 008;нет данных;нет данных;CU 1829;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Logan;2010;2020;1.6 16V (K4M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;4.8;W 75/3;нет данных;нет данных;C 27 008;нет данных;нет данных;CU 1829;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Fluence;2014;2017;1.6 (K4M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;4.8;W 75/3;нет данных;нет данных;C 24 38;нет данных;нет данных;CU 2430;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Fluence;2014;2017;2.0 (M4R);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;4.4;W 6025;нет данных;нет данных;C 24 38;нет данных;нет данных;CU 2430;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Kaptur;2017;2020;1.6 (H4M);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700;4.3;W 67/1;нет данных;нет данных;C 27 031;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Renault;Kaptur;2017;2020;2.0 (F4R);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;RN 0700/0710;5.4;W 75/3;нет данных;нет данных;C 27 031;нет данных;нет данных;CU 22 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Skoda;Rapid;2018;2020;1.6 MPI (CWVA);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 502 00;4.2;W 712/95;нет данных;нет данных;C 21 003;нет данных;нет данных;CU 26 010;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
